lambda_reg,Accuracy,Unfairness
0.0,0.9222999811172485,-0.1508082151412964
0.2,0.9128999710083008,0.1441858410835266
0.3,0.8953999876976013,0.2381369024515152
0.4,0.8222999572753906,0.31749674677848816
0.6,0.5223999619483948,0.4240207374095917
0.8,0.44769999384880066,0.49896886944770813
1.1,0.4397999942302704,0.5832003355026245
1.8,0.4302999973297119,0.6913101673126221
