,Split,Lam_fair,Type,Accuracy,Unfairness,Ploss,Relaxation,min_unfairness_vals
399,0,1.99,Test,0.39800000190734863,0.17189621925354004,14379.919921875,-14462.5732421875,0.0
393,0,1.96,Test,0.39800000190734863,0.17599859833717346,13875.7421875,-13990.3310546875,0.0
397,0,1.98,Test,0.39800000190734863,0.17189693450927734,14040.7451171875,-14145.150390625,0.0
395,0,1.97,Test,0.39800000190734863,0.17189693450927734,14040.7275390625,-14145.134765625,0.0
391,0,1.95,Test,0.4000000059604645,0.1764639914035797,13715.3203125,-13838.44140625,0.0
389,0,1.94,Test,0.4009999930858612,0.1775151938199997,13555.021484375,-13686.6103515625,0.0
387,0,1.93,Test,0.4009999930858612,0.17709150910377502,13398.2158203125,-13535.3828125,0.0
383,0,1.9100000000000001,Test,0.4020000100135803,0.16726908087730408,13067.248046875,-13212.8349609375,0.0
381,0,1.9000000000000001,Test,0.4020000100135803,0.16706092655658722,12908.6884765625,-13058.5908203125,0.0
379,0,1.8900000000000001,Test,0.4020000100135803,0.16706092655658722,12754.4599609375,-12908.1904296875,0.0
377,0,1.8800000000000001,Test,0.4020000100135803,0.16706092655658722,12600.1728515625,-12757.853515625,0.0
363,0,1.81,Test,0.40299999713897705,0.1691388487815857,11469.017578125,-11679.3486328125,0.0
365,0,1.82,Test,0.40299999713897705,0.16911432147026062,11622.2314453125,-11828.9345703125,0.0
367,0,1.83,Test,0.40299999713897705,0.16911432147026062,11622.25,-11828.951171875,0.0
371,0,1.85,Test,0.40299999713897705,0.16465459764003754,11968.2353515625,-12153.4384765625,0.0
373,0,1.86,Test,0.40299999713897705,0.165007546544075,12281.708984375,-12455.08984375,0.0
375,0,1.87,Test,0.40299999713897705,0.165007546544075,12441.3232421875,-12606.564453125,0.0
385,0,1.92,Test,0.40299999713897705,0.16932246088981628,13228.3935546875,-13369.337890625,0.0
369,0,1.84,Test,0.40299999713897705,0.1646740585565567,11968.2119140625,-12153.41796875,0.0
361,0,1.8,Test,0.40400001406669617,0.17078672349452972,11312.6123046875,-11529.9501953125,0.0
345,0,1.72,Test,0.4050000011920929,0.16875799000263214,10054.9140625,-10335.6376953125,0.0
341,0,1.7,Test,0.4050000011920929,0.1686892956495285,9732.6806640625,-10029.89453125,0.0
343,0,1.71,Test,0.4050000011920929,0.16868872940540314,9732.701171875,-10029.91015625,0.0
349,0,1.74,Test,0.4050000011920929,0.16900847852230072,10368.4814453125,-10632.796875,0.0
359,0,1.79,Test,0.4050000011920929,0.16900716722011566,11148.982421875,-11378.7607421875,0.0
353,0,1.76,Test,0.4050000011920929,0.1690102517604828,10686.5126953125,-10935.216796875,0.0
355,0,1.77,Test,0.4050000011920929,0.1690102517604828,10836.2861328125,-11081.396484375,0.0
357,0,1.78,Test,0.4050000011920929,0.1690102517604828,10991.505859375,-11229.640625,0.0
351,0,1.75,Test,0.4050000011920929,0.16900838911533356,10368.5,-10632.8125,0.0
347,0,1.73,Test,0.4059999883174896,0.17059142887592316,10208.8740234375,-10483.0576171875,0.0
339,0,1.69,Test,0.4059999883174896,0.1666446477174759,9574.626953125,-9878.9228515625,0.0
337,0,1.68,Test,0.40799999237060547,0.16654223203659058,9270.1171875,-9582.0068359375,0.0
335,0,1.67,Test,0.40799999237060547,0.1665421575307846,9270.0966796875,-9581.9912109375,0.0
333,0,1.6600000000000001,Test,0.4129999876022339,0.16817687451839447,8946.9189453125,-9279.5673828125,0.0
331,0,1.6500000000000001,Test,0.4129999876022339,0.16817684471607208,8946.8984375,-9279.552734375,0.0
329,0,1.6400000000000001,Test,0.4129999876022339,0.16799676418304443,8780.4150390625,-9113.8994140625,0.0
297,0,1.48,Test,0.41499999165534973,0.16873957216739655,6254.67578125,-6651.45751953125,0.0
295,0,1.47,Test,0.41499999165534973,0.168605238199234,6254.4423828125,-6651.23193359375,0.0
327,0,1.6300000000000001,Test,0.41499999165534973,0.1641327440738678,8633.5537109375,-8968.9970703125,0.0
323,0,1.61,Test,0.41600000858306885,0.1624200940132141,8325.583984375,-8672.9931640625,0.0
317,0,1.58,Test,0.41600000858306885,0.16991885006427765,7714.8251953125,-8087.328125,0.0
315,0,1.57,Test,0.41600000858306885,0.16991885006427765,7714.80322265625,-8087.3115234375,0.0
313,0,1.56,Test,0.41600000858306885,0.16991885006427765,7569.5068359375,-7943.4892578125,0.0
285,0,1.42,Test,0.41600000858306885,0.16900727152824402,5558.0849609375,-5957.77587890625,0.0
307,0,1.53,Test,0.41600000858306885,0.16948851943016052,7130.3056640625,-7510.8154296875,0.0
305,0,1.52,Test,0.41600000858306885,0.16568328440189362,6988.59130859375,-7370.61865234375,0.0
325,0,1.62,Test,0.41600000858306885,0.16201776266098022,8481.48828125,-8822.1591796875,0.0
299,0,1.49,Test,0.4169999957084656,0.16307099163532257,6554.59130859375,-6941.5322265625,0.0
287,0,1.43,Test,0.4169999957084656,0.1707233041524887,5697.15087890625,-6096.330078125,0.0
303,0,1.51,Test,0.4169999957084656,0.1671525239944458,6836.25927734375,-7221.1630859375,0.0
301,0,1.5,Test,0.4169999957084656,0.16339923441410065,6695.37841796875,-7081.34912109375,0.0
289,0,1.44,Test,0.4169999957084656,0.17072339355945587,5836.18212890625,-6234.85986328125,0.0
293,0,1.46,Test,0.4169999957084656,0.17072102427482605,6114.400390625,-6512.01318359375,0.0
291,0,1.45,Test,0.4169999957084656,0.17072339355945587,5975.240234375,-6373.4052734375,0.0
321,0,1.6,Test,0.4180000126361847,0.16202372312545776,8165.0400390625,-8521.1142578125,0.0
309,0,1.54,Test,0.4180000126361847,0.16570812463760376,7273.6435546875,-7652.82470703125,0.0
311,0,1.55,Test,0.4180000126361847,0.1657080352306366,7419.63232421875,-7795.201171875,0.0
319,0,1.59,Test,0.4180000126361847,0.16170601546764374,8015.65673828125,-8375.525390625,0.0
283,0,1.41,Test,0.4189999997615814,0.16641101241111755,5417.6240234375,-5818.50537109375,0.0
