lambda,seed,max_epochs,num_samples,input_dim,Accuracy,Unfairness,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.0,3.0,3,190000,512,0.9867986798679867,0.004053805958351022,,,
0.2,2.0,3,190000,512,0.9582958295829583,0.024666382153003936,,,
0.2,3.0,3,190000,512,0.9747974797479748,0.010152763855207664,,,
0.2,4.0,3,190000,512,0.9816981698169817,0.007081251161525906,,,
0.4,2.0,3,190000,512,0.9450945094509451,0.07565341565389853,,,
0.4,3.0,3,190000,512,0.9456945694569457,0.06372437081727672,,,
0.4,4.0,3,190000,512,0.933093309330933,0.09920649073586238,,,
0.6,2.0,3,190000,512,0.5472547254725473,0.0010098713293014536,,,
0.6,3.0,3,190000,512,0.5433543354335434,0.0010098713293014536,,,
